Pelvis Sex,Clavicle maximum length,Clavicle sagittal diameter at midshaft,Clavicle vertical diameter at midshaft,Scapula height,Scapula breadth,Humerus maximum length,Humerus epicondylar breadth,Humerus vertical diameter of head,Humerus maximum diameter at midshaft,Humerus minimum diameter at midshaft,Radius maximum length,Radius sagittal diameter at midshaft,Radius transverse diameter at midshaft,Ulna maximum length,Ulna dorso-volar diameter,Ulna transverse diameter,Ulna physiological length,Ulna minimum circumference,Femur maximum heigth,Femur bicondylar length,Femur epicondylar breadth,Femur maximum head diameter,Femur sagittal subtrochanteric diameter,Femur transverse subtrochanteric diameter,Femur sagittal midshaft diameter,Femur transverse midshaft diameter,Femur midshaft circumference,Tibia length,Tibia maximum proximal epiphyseal breadth,Tibia maximum distal epiphyseal breadth,Tibia maximum diameter at the nutrient foramen,Tibia transverse diameter at the nutrient foramen,Tibia circumference at the nutrient foramen,Fibula maximum length,Fibula maximum diameter at midshaft,Calcaneus maximum length,Calcaneus middle breadth
0,,,,,,,,,,,205,10.8,13.5,,,,,,427,423,,43.4,25.4,31.1,25.6,23.9,79,331,66.2,,30.5,23.7,84,,,75.2,39.1
0,,,,,,,51.21,,,,,,,,17.63,21,,,407,403,68,40.3,30,23.2,26,25.3,81,313,63,40,31,21.7,81,,,,
0,,,,,,274,49.2,28.5,20.5,16.8,199,12.5,10.4,,16.2,17,,31,406,401,69.2,38.6,36.5,25.3,26.6,25.5,81,,64.4,,,,,,,,
1,160,13.3,10,163,109,338,63,45,20.6,17.3,247,14.6,11.5,258,14,16.5,236,31,492,488,78.9,49,33.6,25.9,28.7,28,87,395,77.1,47,26,35.2,93,377,14.7,81.9,43
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,137,11.8,8.6,131,87.12,276,55.2,41.37,18.9,16.3,206,13,10,219,13,16.3,199,32,391,384,73,44.8,30.4,25.6,24.2,25.3,78,319,69,45.9,26.3,19.5,70,308,13.7,70.4,40.6
0,135,9.18,11.55,,,299,50.7,39.5,20.5,17.9,214,13.1,10.8,,17.5,19.9,,34,414,411,68.3,,28.7,26.3,28.5,27.2,87,,,,29.9,23.1,82,,,70.7,
0,,,,,,,,,,,,,,,,,,,409,405,72.8,41,30.6,24.1,24.8,24.3,76,319,67.85,46.4,27.6,21,75,322,12.2,75.7,
1,147,11.2,11.7,,,291,,46.9,22.6,23.6,222,16.3,13,,18.8,24.3,,37,416,410,84.2,47.1,32.7,26.5,29.6,26.9,88,,,,35.1,23.7,90,,,81.5,43.3
0,134,11.3,9.1,,,,,,,,,,,,17,18,,,,,,,,,,,,353,69.2,43.3,30.2,20.2,78,356,14,65,36.9
1,,,,,,,60.61,,,,233,15,12.55,,18.6,17,,35,,,,47,34,24.4,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,41.4,29.8,22.3,,,,,65.3,,30.5,21.1,81,,,72.2,36.9
0,123,12,7.8,,,276,49.5,36,18.1,18,250,9,13.2,,,,,,398,395,68.4,37.6,24.6,27.9,28.3,23.5,78,315,62.3,40.9,24.9,24,80,312,14.1,69.1,35
