Pelvis Sex,Clavicle maximum length,Clavicle sagittal diameter at midshaft,Clavicle vertical diameter at midshaft,Scapula height,Scapula breadth,Humerus maximum length,Humerus epicondylar breadth,Humerus vertical diameter of head,Humerus maximum diameter at midshaft,Humerus minimum diameter at midshaft,Radius maximum length,Radius sagittal diameter at midshaft,Radius transverse diameter at midshaft,Ulna maximum length,Ulna dorso-volar diameter,Ulna transverse diameter,Ulna physiological length,Ulna minimum circumference,Femur maximum heigth,Femur bicondylar length,Femur epicondylar breadth,Femur maximum head diameter,Femur sagittal subtrochanteric diameter,Femur transverse subtrochanteric diameter,Femur sagittal midshaft diameter,Femur transverse midshaft diameter,Femur midshaft circumference,Tibia length,Tibia maximum proximal epiphyseal breadth,Tibia maximum distal epiphyseal breadth,Tibia maximum diameter at the nutrient foramen,Tibia transverse diameter at the nutrient foramen,Tibia circumference at the nutrient foramen,Fibula maximum length,Fibula maximum diameter at midshaft,Calcaneus maximum length,Calcaneus middle breadth
1,,,,,,,,,,,234,16.9,12.4,,,,,,,,,,32.6,26,,,,,,50.1,,,,,,80.1,
0,,,,,,,,39.8,,,,,,,16.7,20.4,,,,,,,,,,,,,,,,,,,,,
0,,11,7.7,,,299,53,40.3,18.2,17.8,210,10.8,13.1,,,,205,35,420,415,,41.4,25.2,31.8,25.3,24.8,79,,,,,,,,,74,38.1
0,,,,,,,,,,,,,,,19.6,22,,,404,400,67.93,40,30,23,25,24.3,78,308,62.5,39,31.2,21,80,,,,
0,,,,,,278,48.7,,20.7,18.6,,,,,16.5,18.5,,,398,391,71.2,,33.5,25,28.2,26,85,,64.8,,23.6,32.6,87,,,,
1,157,13.7,11,161,108,347,63,46.9,22.1,16.9,250,15.7,11.4,261,14.2,20,238,32,478,476,79,47.9,36.7,26.1,28.7,30,90,392,75.9,48.3,25.4,37.5,95,380,13.8,80,43.3
0,,,,,,,,,,,226,15.6,11.4,,16.4,,,,,,,44.3,32,26,,,,,,,,,,,,,
0,137,11.7,8.6,129.1,85.2,283,55.4,44.2,18.3,17.7,210,13.2,10.6,229,13.4,15.6,203,33,394,387,73.2,45.2,31.8,26.3,26,24.7,80,315,68,44.8,28.2,19,75,312,13,70,40.8
0,140,11,7.7,,,305,50.1,38.4,19.8,16.3,217,14,10.7,236,17.5,20,212,34,414,410,69.4,42.85,29.1,28.6,30.1,26.6,88,328,,43.8,30,23,87,329,15.5,72.5,40.4
0,,,,,,,,,,,,,,,,,,,,,75,,28.9,23.1,,,,320,67.7,46.3,28.4,22,78,315,11.6,75.2,38.3
1,,,,,,299,,48.6,19.4,23,222,16.1,12.2,245,18,24,215,39,412,407,85.5,47,32,26.8,29.2,25.3,85,,,,37,24.7,93,328,16.4,84.4,40.4
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,233,16.5,12.6,260,17.3,15,234,38,,,,47.1,32.9,25.4,34.3,26.4,95,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,42.6,31.5,23.9,,,,,,,29.2,19.5,78,,,,36.5
0,125,12.9,7.3,,,283,51.8,36.8,17.3,15.5,200,9.3,11.5,221,9.9,14.1,195,34,394,391,68.7,38.4,23.5,27.8,25.8,23.4,78,314,62.1,41.9,27.5,23.4,81,312,14.6,67.7,34.7
